rule_id,rule_section,rule_title,assessment_type,profiles,status,evaluation_strategy,evaluation_reason,exit_code,timed_out,duration_ms,timestamp,evidence_path,hostname,assessment_date,profile
1.1.1.1,1.1.1,Ensure cramfs kernel module is not available,Automated,Level 1 - Server | Level 1 - Workstation,PASS,script_verdict,Audit script explicitly reported PASS,0,False,9,2026-04-01T00:11:41.263382+08:00,/tmp/cis_test/Erics-Mac-mini.local_2026-04-01_00-11-41/evidence/1.1.1.1.txt,Erics-Mac-mini.local,2026-04-01T00:11:41.262627+08:00,Level 1 - Server
1.1.1.2,1.1.1,Ensure freevxfs kernel module is not available,Automated,Level 1 - Server | Level 1 - Workstation,PASS,script_verdict,Audit script explicitly reported PASS,0,False,6,2026-04-01T00:11:41.273639+08:00,/tmp/cis_test/Erics-Mac-mini.local_2026-04-01_00-11-41/evidence/1.1.1.2.txt,Erics-Mac-mini.local,2026-04-01T00:11:41.262627+08:00,Level 1 - Server
1.1.2.1.1,1.1.2.1,Ensure /tmp is a separate partition,Automated,Level 1 - Server | Level 1 - Workstation,PASS,exit_code,Audit script exited with code 0 (success),0,False,5,2026-04-01T00:11:41.280601+08:00,/tmp/cis_test/Erics-Mac-mini.local_2026-04-01_00-11-41/evidence/1.1.2.1.1.txt,Erics-Mac-mini.local,2026-04-01T00:11:41.262627+08:00,Level 1 - Server
1.2.1.1,1.2.1,Ensure GPG keys are configured,Manual,Level 1 - Server | Level 1 - Workstation,MANUAL,manual,Manual review required — automated assessment not possible,2,False,3,2026-04-01T00:11:41.286176+08:00,/tmp/cis_test/Erics-Mac-mini.local_2026-04-01_00-11-41/evidence/1.2.1.1.txt,Erics-Mac-mini.local,2026-04-01T00:11:41.262627+08:00,Level 1 - Server
1.3.1.1,1.3.1,Ensure SELinux is installed,Automated,Level 1 - Server | Level 1 - Workstation,PASS,package_check,Package is installed: --- rpm -q libselinux --- /var/folders/d2/ctj12pkn1qzdjhllwy9kkg4h0000gn/T/cis_audit_jljzih4k.sh: li,0,False,4,2026-04-01T00:11:41.290201+08:00,/tmp/cis_test/Erics-Mac-mini.local_2026-04-01_00-11-41/evidence/1.3.1.1.txt,Erics-Mac-mini.local,2026-04-01T00:11:41.262627+08:00,Level 1 - Server
